"word","freq"
"someone",19
"stepfather",19
"stoner",19
"suppose",19
"voice",19
"wait",19
"weeks",19
"windibank",19
"wont",19
"afterwards",18
"agreement",18
"along",18
"appears",18
"bedroom",18
"child",18
"clothes",18
"coat",18
"dead",18
"drive",18
"excellent",18
"fell",18
"garden",18
"glad",18
"happy",18
"high",18
"hundred",18
"james",18
"lips",18
"listened",18
"locked",18
"love",18
"low",18
"meet",18
"neville",18
"news",18
"pipe",18
"remained",18
"serious",18
"simple",18
"single",18
"tomorrow",18
"wedding",18
"breakfast",17
"certain",17
"change",17
"company",17
"dreadful",17
"evidence",17
"feel",17
"feeling",17
"geese",17
"glance",17
"hatherley",17
"innocent",17
"instantly",17
"laughing",17
"league",17
"license",17
"making",17
"miles",17
"pulled",17
"seem",17
"sit",17
"state",17
"surprised",17
"times",17
"adler",16
"appearance",16
"arms",16
"arrived",16
"boots",16
"boscombe",16
"boy",16
"bright",16
"brown",16
"centre",16
"chamber",16
"cleared",16
"confess",16
"determined",16
"drew",16
"dropped",16
"events",16
"examined",16
"explain",16
"gold",16
"importance",16
"impression",16
"information",16
"irene",16
"key",16
"kindly",16
"lock",16
"machine",16
"majesty",16
"neither",16
"pay",16
"shook",16
"shoulders",16
"show",16
"sitting",16
"smiling",16
"start",16
"sudden",16
"surprise",16
"third",16
"thumb",16
"trust",16
"turning",16
"twice",16
"whatever",16
"whispered",16
"afternoon",15
"answer",15
"armchair",15
"box",15
"care",15
"caused",15
"claim",15
"clearly",15
"comes",15
"coroner",15
"deal",15
"didnt",15
"donations",15
"engaged",15
"excuse",15
"fancy",15
"follow",15
"following",15
"foot",15
"force",15
"live",15
"nearly",15
"number",15
"object",15
"openshaw",15
"paid",15
"probably",15
"reading",15
"says",15
"sharp",15
"sittingroom",15
"slight",15
"taking",15
"terrible",15
"therefore",15
"today",15
"toller",15
"unless",15
"view",15
"waited",15
"walk",15
"water",15
"witness",15
"wooden",15
"writing",15
"wrong",15
"yard",15
"absolute",14
"affair",14
"age",14
"amid",14
"assistant",14
"bad",14
"band",14
"bell",14
"bent",14
"blood",14
"broke",14
"church",14
"clay",14
"continued",14
"copy",14
"court",14
"den",14
"different",14
"difficult",14
"early",14
"envelope",14
"features",14
"free",14
"german",14
"hotel",14
"impossible",14
"later",14
"literary",14
"lodge",14
"lying",14
"mans",14
"monday",14
"noble",14
"official",14
"pale",14
"paragraph",14
"pass",14
"precisely",14
"private",14
"professional",14
"promise",14
"pushed",14
"result",14
"ring",14
"roylott",14
"run",14
"scene",14
"send",14
"society",14
"stairs",14
"sum",14
"swiftly",14
"truth",14
"ventilator",14
"wall",14
"world",14
"wrote",14
"archive",13
"bank",13
"besides",13
"break",13
"broad",13
"carry",13
"cellar",13
"clue",13
"common",13
"copper",13
"copyright",13
"darkness",13
"deduce",13
"died",13
"edge",13
"eight",13
"evidently",13
"example",13
"expected",13
"fee",13
"finger",13
"form",13
"frightened",13
"gems",13
"glass",13
"heavily",13
"hes",13
"horner",13
"horrible",13
"inside",13
"knowledge",13
"law",13
"lit",13
"mad",13
"missing",13
"months",13
"moran",13
"often",13
"presence",13
"purpose",13
"raise",13
"ross",13
"running",13
"scandal",13
"shot",13
"shoulder",13
"signs",13
"situation",13
"slipped",13
"subject",13
"thick",13
"tried",13
"uncle",13
"united",13
"usual",13
"walking",13
"yellow",13
"yesterday",13
"action",12
"alive",12
"associated",12
"beeches",12
"beg",12
"blow",12
"bohemia",12
"bradstreet",12
"broken",12
"building",12
"cant",12
"chin",12
"complete",12
"deeply",12
"double",12
"draw",12
"firm",12
"forth",12
"future",12
"grew",12
"honour",12
"houses",12
"human",12
"inquiry",12
"investigation",12
"iron",12
"kept",12
"knows",12
"lascar",12
"lawn",12
"learn",12
"lens",12
"lip",12
"lived",12
"looks",12
"madam",12
"marked",12
"merryweather",12
"narrative",12
"pair",12
"passing",12
"perfectly",12
"permission",12
"piece",12
"pips",12
"power",12
"practice",12
"pretty",12
"reach",12
"real",12
"results",12
"search",12
"sheet",12
"shining",12
"sometimes",12
"spoken",12
"statement",12
"streets",12
"tall",12
"theres",12
"throwing",12
"traces",12
"trouble",12
"twenty",12
"visit",12
"ways",12
"weary",12
"west",12
"wished",12
"wonder",12
"worn",12
"acquaintance",11
"adventures",11
"agree",11
"alice",11
"american",11
"arm",11
"assistance",11
"beautiful",11
"beyond",11
"briony",11
"connection",11
"contrary",11
"couple",11
"creature",11
"curious",11
"data",11
"date",11
"earth",11
"easily",11
"evil",11
"examination",11
"exceedingly",11
"explanation",11
"fall",11
"fine",11
"fingers",11
"fixed",11
"formed",11
"general",11
"horror",11
"huge",11
"influence",11
"interested",11
"jones",11
"keen",11
"lad",11
"narrow",11
"neighbourhood",11
"nine",11
"ones",11
"opening",11
"opium",11
"orange",11
"plain",11
"please",11
"possibly",11
"precious",11
"presume",11
"raised",11
"reasoning",11
"refund",11
"remark",11
"returning",11
"rich",11
"ryder",11
"sake",11
"scotland",11
"seat",11
"sleep",11
"stoke",11
"strength",11
"throw",11
"thrust",11
"trademark",11
"trap",11
"value",11
"violence",11
"wanted",11
"womans",11
"access",10
"affairs",10
"although",10
"america",10
"angry",10
"astonishment",10
"attempt",10
"aware",10
"banker",10
"bar",10
"become",10
"beneath",10
"carefully",10
"ceiling",10
"cheeks",10
"christmas",10
"conversation",10
"convinced",10
"doran",10
"dozen",10
"ears",10
"ebook",10
"empty",10
"english",10
"fallen",10
"farther",10
"fastened",10
"fathers",10
"freely",10
"frequently",10
"george",10
"grounds",10
"henry",10
"horsham",10
"hydraulic",10
"immense",10
"intention",10
"knees",10
"latter",10
"lead",10
"learned",10
"longer",10
"lose",10
"loss",10
"makes",10
"managed",10
"marks",10
"master",10
"memory",10
"mere",10
"merely",10
"metal",10
"methods",10
"mouth",10
"notice",10
"occasionally",10
"ordered",10
"page",10
"pavement",10
"peterson",10
"picked",10
"play",10
"pointed",10
"press",10
"prevent",10
"prisoner",10
"probable",10
"profession",10
"putting",10
"questioning",10
"saying",10
"secure",10
"seized",10
"shadow",10
"shutters",10
"sinister",10
"smoke",10
"snow",10
"sorry",10
"soul",10
"spent",10
"spite",10
"study",10
"suit",10
"surely",10
"sutherland",10
"thirty",10
"thrown",10
"top",10
"twisted",10
"unfortunate",10
