Region,1950,1951,1952,1953,1954,1955,1956,1957,1958,1959,1960,1961,1962,1963,1964,1965,1966,1967,1968,1969,1970,1971,1972,1973,1974,1975,1976,1977,1978,1979,1980,1981,1982,1983,1984,1985,1986,1987,1988,1989,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021,2022,2023,2024,2025,2026,2027,2028,2029,2030,2031,2032,2033,2034,2035,2036,2037,2038,2039,2040,2041,2042,2043,2044,2045,2046,2047,2048,2049,2050
Africa,229895,234594,239501,244621,249960,255521,261307,267320,273561,280030,286729,293661,300834,308259,315949,323916,332172,340724,349572,358712,368148,377881,387927,398321,409107,420318,431963,444037,456540,469465,482803,496554,510707,525234,540101,555276,570745,586497,602516,618784,635287,652027,668997,686163,703482,720931,738497,756210,774149,792419,811101,830228,849798,869810,890253,911120,932415,954154,976356,999045,1022234,1045923,1070096,1094737,1119819,1145316,1171222,1197519,1224154,1251064,1278199,1305533,1333069,1360818,1388808,1417057,1445563,1474314,1503311,1532555,1562047,1591782,1621757,1651968,1682414,1713090,1743989,1775100,1806409,1837901,1869561,1901377,1933333,1965408,1997579,2029824,2062125,2094470,2126841,2159222,2191599
Asia,1403389,1434859,1464014,1492183,1520377,1549293,1579295,1610431,1642478,1675022,1707682,1740366,1773475,1808005,1845280,1886186,1931078,1979500,2030497,2082685,2134993,2187206,2239439,2291348,2342614,2393056,2442427,2490840,2538937,2587626,2637586,2688922,2741477,2795321,2850467,2906851,2964557,3023408,3082734,3141648,3199481,3255949,3311117,3365096,3418145,3470446,3522013,3572732,3622533,3671319,3719044,3765678,3811320,3856214,3900690,3944992,3989188,4033234,4077124,4120815,4164252,4207448,4250361,4292816,4334583,4375482,4415433,4454423,4492434,4529467,4565520,4600562,4634553,4667481,4699342,4730130,4759831,4788436,4815949,4842382,4867741,4892024,4915223,4937331,4958338,4978236,4997022,5014696,5031249,5046674,5060964,5074122,5086152,5097051,5106819,5115457,5122973,5129382,5134706,5138977,5142220
Europe,547287,552497,558036,563744,569502,575236,580918,586562,592217,597960,603854,609918,616092,622223,628104,633591,638616,643229,647539,651715,655879,660063,664228,668333,672314,676123,679761,683249,686591,689795,692869,695795,698581,701292,704013,706800,709676,712598,715464,718133,720497,722552,724316,725744,726784,727422,727625,727453,727096,726807,726777,727064,727636,728473,729522,730736,732129,733693,735317,736855,738199,739299,740175,740877,741488,742067,742623,743130,743572,743927,744177,744320,744363,744306,744148,743890,743534,743083,742543,741923,741233,740475,739653,738779,737866,736922,735952,734959,733942,732898,731826,730727,729601,728445,727256,726029,724766,723465,722119,720719,719257
Latin America and the Caribbean,167368,171808,176509,181416,186490,191707,197058,202549,208195,214025,220058,226303,232737,239309,245949,252605,259256,265918,272625,279432,286377,293466,300685,308031,315496,323074,330763,338560,346438,354368,362326,370296,378278,386279,394315,402393,410515,418666,426823,434952,443032,451045,458992,466892,474772,482647,490523,498382,506184,513879,521429,528823,536071,543179,550163,557038,563796,570442,577011,583547,590082,596629,603174,609686,616119,622437,628628,634697,640643,646471,652182,657773,663234,668560,673744,678778,683661,688387,692956,697363,701606,705684,709594,713334,716906,720307,723538,726598,729486,732202,734748,737124,739332,741369,743235,744929,746453,747811,749009,750055,750956
Northern America,171615,174223,177116,180238,183536,186960,190460,193988,197500,200955,204318,207561,210672,213647,216495,219224,221831,224317,226704,229018,231284,233509,235701,237887,240099,242360,244688,247081,249523,251987,254454,256918,259391,261893,264449,267079,269797,272595,275445,278309,281162,283981,286785,289631,292601,295749,299100,302618,306224,309809,313289,316638,319875,323026,326134,329231,332320,335390,338445,341490,344529,347563,350595,353620,356636,359638,362626,365600,368555,371487,374394,377272,380122,382939,385723,388472,391183,393857,396494,399093,401657,404184,406674,409130,411553,413945,416307,418640,420944,423220,425467,427686,429878,432049,434204,436348,438483,440609,442719,444805,446862
Oceania,12675,12977,13272,13565,13862,14165,14475,14793,15117,15444,15773,16101,16432,16769,17119,17486,17870,18268,18676,19091,19506,19922,20340,20748,21133,21489,21808,22097,22373,22658,22970,23314,23686,24079,24483,24891,25300,25714,26131,26549,26967,27385,27802,28218,28632,29044,29454,29865,30278,30698,31130,31571,32023,32494,32995,33532,34110,34724,35356,35984,36593,37175,37734,38277,38815,39355,39898,40441,40983,41522,42056,42585,43109,43629,44143,44651,45153,45649,46138,46621,47096,47564,48025,48479,48926,49367,49801,50229,50650,51065,51475,51879,52277,52670,53056,53435,53807,54172,54531,54885,55233
